FID,POINT_X,POINT_Y,Lon,Lat,PlotElevation (for cross section location - always 0),CrossSec
0,-112889.532847,6337591.94151,128.450342,-32.927979,0,A1
1,137110.467153,6337591.94151,131.114823,-33.039636,0,A2
2,387110.467153,6337591.94151,133.790289,-33.094331,0,A3
3,637110.467153,6337591.94151,136.469192,-33.091543,0,A4
4,887110.467153,6337591.94151,139.143922,-33.031297,0,A5
5,1137110.46715,6337591.94151,141.806944,-32.914169,0,A6
6,1387110.46715,6337591.94151,144.450927,-32.741269,0,A7
7,1637110.46715,6337591.94151,147.068859,-32.514211,0,A8
8,1887110.46715,6337591.94151,149.654161,-32.235076,0,A9
9,2137110.46715,6337591.94151,152.200769,-31.906358,0,A10
122,2387110.46715,6337591.94151,154.703204,-31.530912,0,A11
123,2637110.46715,6337591.94151,157.156616,-31.111885,0,A12
133,2887110.46715,6337591.94151,159.556806,-30.652658,0,A13
10,-112889.532847,6587591.94151,128.607261,-30.686881,0,B1
11,137110.467153,6587591.94151,131.208416,-30.789236,0,B2
12,387110.467153,6587591.94151,133.819509,-30.839367,0,B3
13,637110.467153,6587591.94151,136.43371,-30.836812,0,B4
14,887110.467153,6587591.94151,139.044137,-30.781593,0,B5
15,1137110.46715,6587591.94151,141.64397,-30.674221,0,B6
16,1387110.46715,6587591.94151,144.226558,-30.515682,0,B7
17,1637110.46715,6587591.94151,146.785516,-30.307411,0,B8
18,1887110.46715,6587591.94151,149.314821,-30.051259,0,B9
19,2137110.46715,6587591.94151,151.808884,-29.749451,0,B10
117,2387110.46715,6587591.94151,154.262609,-29.404538,0,B11
141,2637110.46715,6587591.94151,156.671436,-29.01934,0,B12
128,2887110.46715,6587591.94151,159.031363,-28.596892,0,B13
20,-112889.532847,6837591.94151,128.747526,-28.444361,0,C1
21,137110.467153,6837591.94151,131.292043,-28.537825,0,C2
22,387110.467153,6837591.94151,133.845612,-28.583595,0,C3
23,637110.467153,6837591.94151,136.402011,-28.581262,0,C4
24,887110.467153,6837591.94151,138.954974,-28.530846,0,C5
25,1137110.46715,6837591.94151,141.498288,-28.4328,0,C6
26,1387110.46715,6837591.94151,144.025878,-28.287997,0,C7
27,1637110.46715,6837591.94151,146.531898,-28.097714,0,C8
